Country Name,alphaCode3,SeriesName,SeriesCode,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,..
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,532.02843152625,568.403201603477,593.446745665183,591.032643383924,739.345093272667,908.67454726938,1067.81415577833,1098.48316581368,1065.76739836628,1142.96535512577,1123.96810630449,1096.87322889453,1070.69016441863,1018.1002875264,796.353973775973,1420.61479470727,1161.95167669011,1005.93953033667,1021.39350044285,552.252184819181,418.45358899715,453.64407387777,536.363825095196,596.407959255952,663.783995402449,904.346640328557,694.664802792381,734.849913537668,1414.70378393053,1449.64741324695,1351.23079642883,1578.16591882688,1469.26453867857,1797.52548696885,1722.07284972507,1218.36014605619,1213.12436932179,1617.7441562046,1835.68407241763,1943.34335385842,2205.70392004668,2118.32777605579,2533.25282927106,2309.36650255581,..,..,..,..
Albania,ALB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1926.59461862655,1722.63461283675,1905.93707184946,2160.90105613423,2347.38940177691,2573.12010452933,2678.0431684116,2851.08786160852,3012.91687537714,3181.50671928539,3438.17662869156,3667.17210963687,3837.88720199011,3851.51319143654,4053.45579085024,4245.75569655343,4250.87106384961,4503.02358296356,4526.8692164833,4665.31678523418,4868.5914378194,4982.01854062327,..
Algeria,DZA,"Population, total",SP.POP.TOTL,11124888,11404859,11690153,11985136,12295970,12626952,12980267,13354197,13744387,14144438,14550034,14960109,15377093,15804428,16247113,16709099,17190239,17690184,18212326,18760761,19337715,19943664,20575701,21228289,21893853,22565905,23241272,23917897,24591492,25257672,25912367,26554329,27181094,27786259,28362253,28904298,29411415,29886839,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142,..
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,133.08726560749,142.029446007773,157.80387623013,169.630136751065,194.504802443268,218.728779745296,231.710422005786,277.284735623555,312.673883538093,328.322141473282,361.267618628152,403.631448571303,415.012250869583,438.661938581574,463.708413201243,482.374630786129,452.673577447047,478.986797547705,519.010619822761,528.434936105991,529.405205456331,556.63690357717,545.01759304842,548.087629004649,557.079781006963,567.704750009478,572.927769310097,615.577695636288,649.783899966498,680.195974430198,705.934793364669,727.612643532377,783.032358774422,800.704307891519,886.914576373772,858.934010580582,890.814352714554,943.755743391953,863.085973626393,1012.69083578198,1118.50880991021,1231.97009240867,1272.29602403971,1356.26455370835,..,..,..,..
Algeria,DZA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2855.18144098892,2475.46408819755,1771.13252714043,2177.13004517492,2203.57962750147,2228.85686749111,2044.3633488585,2201.80157358654,2387.25407429783,2546.41411401433,2642.03691622051,2307.1425388992,2872.82820211471,2887.34591944547,3023.13266710427,3068.42390235628,3208.36840054489,3283.33434175637,3467.23921938795,3559.76467163153,3487.80874664188,3477.06059595487,3590.13562759202,3687.18592181111,3769.53154527768,3795.1047937396,3735.68564297677,3606.73384801845,3435.01082226323,3493.52700744974,3428.49554103873,3246.33945122607,3248.6419345023,3149.25518990305,3038.68066327733,3058.66379669249,3115.93429412123,3126.60100884268,3265.18502178662,3298.06568182037,3333.89151082997,3481.89237764993,3591.37626366814,3805.15464011197,3886.84911750877,3986.74362986241,4035.10279420527,4271.16110805965,4347.975927111,4334.92095695408,4452.66978997892,4437.69849806142,4435.77395942797,4446.88719565599,4524.98207551289,4585.89336410739,4769.2876554315,4723.05295222335,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,20013,20486,21117,21882,22698,23520,24321,25116,25885,26614,27292,27916,28492,29014,29488,29932,30321,30689,31102,31673,32457,33493,34738,36160,37688,39241,40837,42450,44047,45593,47038,48375,49593,50720,51803,52868,53929,54941,55901,56770,57521,58175,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599,55641,..
American Samoa,ASM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281,76965,..
