"","months","q1","median","q3","custCount","year"
"df1.1",0,2,9,27,77,2009
"df1.2",1,2,17,42.5,383,2009
"df1.3",2,3,19,50,712,2009
"df1.4",3,7,21,51,1007,2009
"df1.5",4,8,22,47,1309,2009
"df1.6",5,9,23,50,1643,2009
"df1.7",6,9,24,48,1913,2009
"df1.8",7,10,25,52,2222,2009
"df1.9",8,11,26,54,2589,2009
"df1.10",9,11,26,55,2949,2009
"df1.11",10,11,27,56,3263,2009
"df1.12",11,12,28,55,3575,2009
"df1.13",12,13,27,56,3801,2009
"df1.14",13,13,28,56,3806,2009
"df1.15",14,14,29,58,3805,2009
"df1.16",15,14,29,59,3824,2009
"df1.17",16,14,29,58.75,3851,2009
"df1.18",17,14,30,61,3851,2009
"df1.19",18,14,29,58,3838,2009
"df1.20",19,14,30,61,3892,2009
"df1.21",20,15,31,60,3891,2009
"df1.22",21,15,31,63,3886,2009
"df1.23",22,15,31,61,3911,2009
"df1.24",23,15,31,60.25,3920,2009
"df1.25",24,15,30,61,3930,2009
"df1.26",25,14,31,62,3922,2009
"df1.27",26,14,30,61,3944,2009
"df1.28",27,14,31,61,3936,2009
"df1.29",28,15,31,61,3958,2009
"df1.30",29,15,31,62,3956,2009
"df1.31",30,14,30,61,3989,2009
"df1.32",31,14,31,61,4015,2009
"df1.33",32,15,32,63,4037,2009
"df1.34",33,15,31,63,4081,2009
"df1.35",34,14,30,62,4048,2009
"df1.36",35,14,31,64,4093,2009
"df1.37",36,15,31,66,4124,2009
"df1.38",37,14,31,64,4120,2009
"df1.39",38,15,32,66,4099,2009
"df1.40",39,15,32,64,4169,2009
"df1.41",40,15,33,65,4166,2009
"df1.42",41,15,32,64,4123,2009
"df1.43",42,15,33,67,4157,2009
"df1.44",43,15,33,67,4196,2009
"df1.45",44,15,33,68,4191,2009
"df1.46",45,15,33,68,4222,2009
"df1.47",46,15,33,67,4209,2009
"df1.48",47,15,34,70,4208,2009
"df1.49",48,15,33,67,4232,2009
"df1.50",49,15,33,67,4221,2009
"df1.51",50,15,33,68,4215,2009
"df1.52",51,15,34,67,4240,2009
"df1.53",52,15,33,67,4228,2009
"df1.54",53,15,33,69,4240,2009
"df1.55",54,15,34,68,4239,2009
"df1.56",55,15,34,69,4234,2009
"df1.57",56,15,34,70,4261,2009
"df1.58",57,15,33,66,4287,2009
"df1.59",58,15,34,69,4300,2009
"df1.60",59,14,33.5,68,4315,2009
"df1.61",60,14.25,34,67.75,4360,2009
"df1.62",61,15,34,68,4361,2009
"df1.63",62,13,33,64,4412,2009
"df1.64",63,14,34,68,4359,2009
"df1.65",64,14,33,66,4403,2009
"df1.66",65,14,33,67,4339,2009
"df1.67",66,13,33,66,4062,2009
"df1.68",67,13,33,66,4072,2009
"df1.69",68,12,32,65,4121,2009
"df1.70",69,12,33,66,4045,2009
"df1.71",70,12,32,65,4079,2009
"df1.72",71,12,32,65,4132,2009
"df1.73",72,12,33,66,3998,2009
"df1.74",73,11,32,66,3604,2009
"df1.75",74,11,31,63,3262,2009
"df1.76",75,11,31,66,3017,2009
"df1.77",76,10,31,62,2545,2009
"df1.78",77,10,31,66,2410,2009
"df1.79",78,10,31,67.25,2286,2009
"df1.80",79,12,32,70,1873,2009
"df1.81",80,12,33,69,1489,2009
"df1.82",81,11,30,61,1065,2009
"df1.83",82,9.5,30,60,697,2009
"df1.84",83,12,29,60,280,2009
"df2.1",0,1,4,20,3984,2010
"df2.2",1,1,10,34,4880,2010
"df2.3",2,2,16,42,5031,2010
"df2.4",3,4,19,44,5135,2010
"df2.5",4,6,20,47,5139,2010
"df2.6",5,7,21,48,5141,2010
"df2.7",6,9,23,50,5228,2010
"df2.8",7,9,24,50,5199,2010
"df2.9",8,10,25,52,5210,2010
"df2.10",9,11,25,53,5237,2010
"df2.11",10,11,25,54,5202,2010
"df2.12",11,11,25,53,5191,2010
"df2.13",12,12,26,54,5261,2010
"df2.14",13,12,27,54,5229,2010
"df2.15",14,12,27,54,5327,2010
"df2.16",15,12,27,55,5278,2010
"df2.17",16,12,27,55,5329,2010
"df2.18",17,12,27,56,5395,2010
"df2.19",18,12,28,56,5350,2010
