"","MonthSinceStart","25%","50%","75%","custCount","year"
"df1.1",0,1,12,40.5,84,2009
"df1.2",1,1,17.5,59,331,2009
"df1.3",2,1,25,69,654,2009
"df1.4",3,7,30,78,987,2009
"df1.5",4,9,33,83,1297,2009
"df1.6",5,10.5,34,81,1589,2009
"df1.7",6,10.5,35,85,1839,2009
"df1.8",7,13,37,90,2169,2009
"df1.9",8,14,38,90,2470,2009
"df1.10",9,15,40,90,2787,2009
"df1.11",10,14,39,94,3104,2009
"df1.12",11,15,40,95,3455,2009
"df1.13",12,16,40,94,3631,2009
"df1.14",13,16,41,96.5,3657,2009
"df1.15",14,17,42,98,3671,2009
"df1.16",15,17,43,98,3691,2009
"df1.17",16,17,44,100,3716,2009
"df1.18",17,17,43,98,3716,2009
"df1.19",18,18,43,103.25,3729,2009
"df1.20",19,18,43,104,3746,2009
"df1.21",20,18,45,102,3747,2009
"df1.22",21,18,43,103,3752,2009
"df1.23",22,19,46,104,3769,2009
"df1.24",23,19,46,105.5,3751,2009
"df1.25",24,19,46,105,3787,2009
"df1.26",25,19,46,104.75,3802,2009
"df1.27",26,18,46,105,3780,2009
"df1.28",27,19,46,105,3773,2009
"df1.29",28,18,45,104.5,3827,2009
"df1.30",29,19,47,107,3829,2009
"df1.31",30,19,46,103,3858,2009
"df1.32",31,19,47,106,3834,2009
"df1.33",32,19,46.5,107,3866,2009
"df1.34",33,18,45,105,3851,2009
"df1.35",34,19,46,107,3850,2009
"df1.36",35,18,46,106,3904,2009
"df1.37",36,17,46,105,3922,2009
"df1.38",37,18,47,106,3953,2009
"df1.39",38,19,48,107,3951,2009
"df1.40",39,18,47,110,3966,2009
"df1.41",40,19,47,110,3972,2009
"df1.42",41,18,47,107,4026,2009
"df1.43",42,19,48,107,3977,2009
"df1.44",43,18,45,106,4017,2009
"df1.45",44,19,49,109,4019,2009
"df1.46",45,18,47,107,4051,2009
"df1.47",46,19,49,112,4069,2009
"df1.48",47,19,48,111,4027,2009
"df1.49",48,19,48,110,4065,2009
"df1.50",49,19,48,111,4045,2009
"df1.51",50,19,49,115.75,4071,2009
"df1.52",51,19,49,111,4076,2009
"df1.53",52,19,50,112,4076,2009
"df1.54",53,20,49,114,4113,2009
"df1.55",54,21,51,114,4104,2009
"df1.56",55,21,50,113,4106,2009
"df1.57",56,21,51,115,4124,2009
"df1.58",57,20,50,113,4098,2009
"df1.59",58,21,50,112,4123,2009
"df1.60",59,21,50,112,4140,2009
"df1.61",60,19.75,50,111,4109,2009
"df1.62",61,20,51,110.5,4143,2009
"df1.63",62,20,50,112,4125,2009
"df1.64",63,19,50,112,4166,2009
"df1.65",64,20,50,111,4146,2009
"df1.66",65,19,49,110,4031,2009
"df1.67",66,19,49,111,3843,2009
"df1.68",67,19,49,111,3823,2009
"df1.69",68,19,49,111,3848,2009
"df1.70",69,18,48,107,3830,2009
"df1.71",70,18,49,109,3894,2009
"df1.72",71,18,49,107,3851,2009
"df1.73",72,18,49,111,3752,2009
"df1.74",73,16,46,108,3478,2009
"df1.75",74,16,48,111,3120,2009
"df1.76",75,16,47,109.75,2812,2009
"df1.77",76,16,49,117,2394,2009
"df1.78",77,15,46,114,2264,2009
"df1.79",78,16,48,111,2115,2009
"df1.80",79,18,51,110,1738,2009
"df1.81",80,17,48,110,1390,2009
"df1.82",81,15,48,109,1045,2009
"df1.83",82,15,43,102.5,658,2009
"df1.84",83,14,46,100.5,297,2009
